Date;Ball1;Ball2;Ball3;Ball4;Ball5;Powerball
3/2/2010;17;22;36;37;52;24
6/2/2010;14;22;52;54;59;4
10/2/2010;5;8;29;37;38;34
13/2/2010;10;14;30;40;51;1
17/2/2010;7;8;19;26;36;15
20/2/2010;13;27;37;41;54;32
24/2/2010;4;17;35;50;57;12
27/2/2010;18;47;51;53;58;30
3/3/2010;7;9;14;45;49;23
6/3/2010;10;29;33;41;59;15
10/3/2010;17;21;37;41;50;1
13/3/2010;6;16;20;31;36;8
17/3/2010;24;26;45;48;55;8
20/3/2010;9;36;39;44;45;9
24/3/2010;14;20;24;39;49;7
27/3/2010;7;21;32;44;52;10
31/3/2010;5;13;17;45;54;12
3/4/2010;10;15;31;52;59;4
7/4/2010;4;36;40;44;52;33
10/4/2010;21;22;49;52;58;34
14/4/2010;6;14;32;38;52;20
17/4/2010;5;21;22;41;49;15
21/4/2010;11;34;41;49;55;20
24/4/2010;1;12;53;56;57;5
28/4/2010;12;22;25;28;44;24
1/5/2010;16;23;25;49;58;20
5/5/2010;13;34;40;47;57;11
8/5/2010;5;22;34;41;57;31
12/5/2010;37;51;52;53;58;38
15/5/2010;15;21;23;28;36;20
19/5/2010;2;7;29;55;58;27
22/5/2010;19;20;40;47;57;29
26/5/2010;1;6;10;13;20;32
29/5/2010;1;3;24;28;41;10
2/6/2010;4;9;14;39;43;38
5/6/2010;18;34;40;48;59;25
9/6/2010;14;22;27;32;49;5
12/6/2010;9;12;13;35;38;30
16/6/2010;8;11;18;29;36;6
19/6/2010;9;30;31;50;54;39
23/6/2010;11;30;45;47;48;10
26/6/2010;13;30;32;38;57;25
30/6/2010;6;38;43;47;48;27
3/7/2010;3;10;14;52;53;3
7/7/2010;10;41;44;48;56;4
10/7/2010;20;21;27;28;56;4
14/7/2010;20;21;23;38;42;6
17/7/2010;22;27;35;37;45;3
21/7/2010;16;22;30;51;58;25
24/7/2010;20;30;38;46;59;27
28/7/2010;1;11;20;25;27;2
31/7/2010;1;16;17;41;57;15
4/8/2010;19;28;30;37;53;36
7/8/2010;4;22;26;31;52;30
11/8/2010;7;10;22;23;52;29
14/8/2010;9;33;36;50;58;31
18/8/2010;4;32;33;47;55;39
21/8/2010;7;10;12;22;27;26
25/8/2010;16;17;29;31;36;23
28/8/2010;4;22;27;32;56;13
1/9/2010;17;20;21;40;51;19
4/9/2010;11;14;22;33;42;38
8/9/2010;10;35;39;51;57;20
11/9/2010;7;17;20;36;59;33
15/9/2010;7;20;21;34;43;34
18/9/2010;1;18;37;39;44;13
22/9/2010;10;24;36;52;55;15
25/9/2010;8;16;27;35;42;30
29/9/2010;13;44;51;52;55;30
2/10/2010;12;20;30;36;47;25
6/10/2010;14;26;37;41;46;24
9/10/2010;2;6;32;42;49;35
13/10/2010;12;22;32;34;46;2
16/10/2010;11;12;15;16;28;11
20/10/2010;7;17;20;39;59;17
23/10/2010;2;7;16;20;46;34
27/10/2010;20;24;25;53;59;15
30/10/2010;1;7;27;36;49;39
3/11/2010;34;38;39;45;50;33
6/11/2010;7;12;23;34;38;33
10/11/2010;5;8;11;40;44;10
13/11/2010;17;30;48;51;54;29
17/11/2010;14;16;53;54;59;5
20/11/2010;10;12;38;53;57;1
24/11/2010;8;20;21;32;37;4
27/11/2010;10;30;37;47;54;39
1/12/2010;5;10;11;12;20;2
4/12/2010;13;24;27;31;42;22
8/12/2010;8;11;25;41;58;16
11/12/2010;1;8;10;19;20;23
15/12/2010;10;11;18;32;45;18
18/12/2010;4;11;19;33;43;14
22/12/2010;11;33;44;46;47;12
25/12/2010;1;17;38;50;52;24
29/12/2010;3;16;18;20;37;30
1/1/2011;18;22;37;47;54;36
5/1/2011;22;26;32;38;40;7
8/1/2011;6;7;26;33;52;24
12/1/2011;19;21;23;40;48;27
15/1/2011;9;13;22;23;37;31
19/1/2011;22;36;51;56;59;32
22/1/2011;30;31;34;45;51;23
26/1/2011;4;5;36;47;58;6
